company,location,industry,total_laid_off,date,stage,state
Adobe,SF Bay Area,Marketing,100,06/12/22,Post-IPO,CA
Chipper Cash,SF Bay Area,Finance,50,06/12/22,Series C,CA
Stash,New York City,Finance,32,06/12/22,Unknown,NY
Filevine,Salt Lake City,Legal,89,06/12/22,Series D,UT
Nextiva,Phoenix,Other,403,06/12/22,Private Equity,AZ
OneStudyTeam,Boston,Healthcare,148,06/12/22,Series D,MA
Zuora,SF Bay Area,Finance,144,06/12/22,Post-IPO,CA
Aqua Security,Boston,Security,65,05/12/22,Series E,MA
Elemy,SF Bay Area,Healthcare,148,05/12/22,Series B,CA
Route,Lehi,Retail,603,05/12/22,Unknown,UT
Polly,Burlington,Finance,47,02/12/22,Series C,VT
Homebound,SF Bay Area,Real Estate,260,02/12/22,Unknown,CA
Lora DiCarlo,Bend,Consumer,788,02/12/22,Unknown,OR
Bizzabo,New York City,Marketing,100,01/12/22,Series E,NY
BloomTech,SF Bay Area,Education,88,01/12/22,Unknown,CA
Netlify,SF Bay Area,Product,48,01/12/22,Series D,CA
Springbig,Miami,Sales,37,01/12/22,Post-IPO,FL
Podium,Lehi,Support,125,01/12/22,Series D,UT
SQZ Biotech,Boston,Healthcare,148,01/12/22,Post-IPO,MA
Strava,SF Bay Area,Fitness,473,01/12/22,Series F,CA
Synlogic,Boston,Healthcare,148,01/12/22,Post-IPO,MA
DoorDash,SF Bay Area,Food,1250,30/11/22,Post-IPO,CA
Kraken,SF Bay Area,Crypto,1100,30/11/22,Unknown,CA
Happy Money,Los Angeles,Finance,158,30/11/22,Series D,CA
Wonder,New York City,Food,130,30/11/22,Series B,NY
Grin,Sacramento,Marketing,60,30/11/22,Series B,CA
